name,region,rating,kd,maps,kost,kpr,srv,plants,profile_url
Direction,NA,1.44,94-42 (+52),8,80%,1.08,51%,1,https://siege.gg/players/2788-direction
VEXISS,NA,1.43,47-20 (+27),4,76%,1.12,52%,0,https://siege.gg/players/3970-vexiss
Aiden,NA,1.34,127-73 (+54),12,74%,1.03,40%,3,https://siege.gg/players/3749-aiden
DiasLucas,NA,1.29,78-43 (+35),8,81%,0.86,52%,0,https://siege.gg/players/2191-diaslucas
GUTTERO,NA,1.29,25-16 (+9),2,76%,1.00,36%,0,https://siege.gg/players/3957-guttero
txonly,NA,1.28,104-66 (+38),10,76%,0.96,38%,2,https://siege.gg/players/3873-txonly
JOWKKAEBI,NA,1.26,44-29 (+15),4,69%,1.05,30%,0,https://siege.gg/players/3250-jowkkaebi
HASAQUI,NA,1.26,118-84 (+34),12,71%,0.98,30%,0,https://siege.gg/players/3876-hasaqui
OnJuly,NA,1.24,76-47 (+29),8,73%,0.87,45%,1,https://siege.gg/players/2791-onjuly
fxrias,NA,1.24,162-110 (+52),15,68%,1.02,30%,1,https://siege.gg/players/3036-fxrias
MoonL1ght,NA,1.24,90-60 (+30),9,70%,0.94,37%,0,https://siege.gg/players/3866-moonl1ght
YaaaaZ,NA,1.24,79-50 (+29),9,77%,0.82,47%,0,https://siege.gg/players/3869-yaz
Rival,NA,1.22,83-55 (+28),8,77%,0.89,40%,0,https://siege.gg/players/3471-rival
POZO,NA,1.22,144-99 (+45),14,72%,0.91,37%,0,https://siege.gg/players/3832-pozo
ARK,NA,1.22,89-63 (+26),7,65%,1.03,26%,3,https://siege.gg/players/3901-ark
Romeo,NA,1.21,71-49 (+22),6,70%,1.00,30%,0,https://siege.gg/players/2781-mrzll
Snake,NA,1.21,87-59 (+28),8,69%,0.94,36%,0,https://siege.gg/players/2984-snake
Woogiman,NA,1.2,107-83 (+24),11,74%,0.91,29%,2,https://siege.gg/players/2515-woogiman
BUMPY,NA,1.2,40-31 (+9),4,67%,1.00,22%,1,https://siege.gg/players/3780-bumpy
